iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,run,3508.75499999983,tangram,close,A1.jpg,A2.jpg,survey-text,12,141559,14
testing,take,4525.099999999831,tangram,close,H1.jpg,Y1.jpg,survey-text,13,146599,14
testing,walking,19214.440000000177,tangram,close,B1.jpg,P1.jpg,survey-text,14,166320,14
testing,bird,8570.889999999956,tangram,close,F1.jpg,W1.jpg,survey-text,15,175413,14
testing,jump,4482.019999999902,tangram,close,E1.jpg,F1.jpg,survey-text,16,180406,14
testing,reach,5546.485000000306,tangram,close,K1.jpg,T1.jpg,survey-text,17,186469,14
testing,sit,3238.9700000003213,tangram,close,G1.jpg,M1.jpg,survey-text,18,190240,14
testing,NA,1919.9600000001665,NA,NA,NA,NA,html-button-response,19,192662,14
testing,run,15304.18000000008,tangram,far,F1.jpg,C1.jpg,survey-text,20,208490,14
testing,skipping,5355.124999999593,tangram,far,A1.jpg,D1.jpg,survey-text,21,214360,14
testing,sitting,4669.494999999646,tangram,far,G1.jpg,N1.jpg,survey-text,22,219545,14
testing,follow,6549.549999999726,tangram,far,B1.jpg,O1.jpg,survey-text,23,226600,14
testing,give,6373.160000000091,tangram,far,I1.jpg,R1.jpg,survey-text,24,233493,14
testing,take,4816.914999999892,tangram,far,H1.jpg,A2.jpg,survey-text,25,238826,14
testing,forward,6550.33500000037,tangram,far,K1.jpg,V1.jpg,survey-text,26,245888,14
testing,leap,4786.070000000094,tangram,far,E1.jpg,C2.jpg,survey-text,27,251190,14
testing,NA,1751.070000000269,NA,NA,NA,NA,html-button-response,28,253451,14
testing,baby,13279.089999999967,familiar,close,sparrow.jpg,eagle.jpg,survey-text,29,267269,14
